id,category,jd
1,cloud engineer,"Company is seeking a Data Architect. The individual will join a highly-skilled IT organization and serves as a lead technical resource for Company* data warehouse architecture, ETL*s, Data Model, Data Integrity and best practicesKey ResponsibilitiesDesigns, develops and maintains the data warehouse architecture, data and metadata policies and procedures.Lead all phases of the support, development, and growth of the data warehouse and reporting environment.Manages, develops and enhancements of ETL tools, practices, procedures, operations and standards.Prototype the solution to various business and technical challenges, such as performance optimization, new reporting capabilities, etc.Perform source data analysis, data discovery and data profiling.Translate business requirements into ETL and report design.Ongoing analysis of systems and processes to suggest process improvements, enhancements and performance and operational improvements.Establish benchmarks and report on Metrics, KPI*s and trends for data warehouse architecture, integrity and performance.Mentor and support team members to ensure development standards and performance goals are met.Work with data scientists and technical team members to manage systems and processes to ensure that they are performing to specifications.Manage and maintain documentation and knowledge base data warehouse system, policies and procedures.Respond to and resolve issues, data discrepancies and variances.Off-hour system and application monitoring rotation.Job Requirements5+ years of experience in data warehouse architecture and business intelligence systems and design.Expert of dimensional model design and implementation in a SQL Server environment.Experience with data governance or master data management practices.Expertise in SQL Server, SSRS, SSIS, SQL Server query tuning.Tableau and Tableau Server 9 & 10.Expertise in managing, developing and maintaining ETL processes and toolsets.Strong organizational, documentation, metric and trend analysis reporting skills and desire for continuous process improvements.Must have strong interpersonal, planning, facilitation, negotiating, and organizational skills.Able to identify risk and issues and recommend appropriate mitigation plans.Can deal with changing priorities and meet tight timelines. Can work under pressure, manage competing priorities and work independently with minimal oversight.Bonus PointsExpertise in SQL Server management expertise and experience.SQL Server replication technologies.Experience in a fast-paced, startup-like environment"
2,cloud engineer,"Cloud Architect  Lowell, MA 6+ months   Research oriented attitude to turn around with answers to solve industry problems with new tools and solutions • Strong foot hold on platform architectures like OpenStack, Cloud Foundry and AWS and experience with Big Data strategies like MongoDB, LogStash, Elastic Search or Hadoop • “Hands-on” experience with programming languages such as Java, Scala and Python. Familiarity with Microservices, Java, JSP, JBoss, MySQL, NoSQL (Cassandra), RabbitMQ, AWS Web Services, Apigee, Linux, and a range of open source libraries. • Familiarity with Spring framework (Core, WS, Security, batch, integration etc) and Play/Akka Frameworks • Ability to quickly develop front end strategies using HTML, AngularJS, React etc • Familiarity with SQL and NOSQL based systems and have the ability to spin up applications using various backend systems like MongoDB, DynamoDB etc • Automating the build-out and deployment of virtual nodes using Chef, Puppet, Ansible, AWS technologies and other tools. Plus automating scale on demand using aws or platforms such as OpenStack or Cloud Foundry. • Automating the build, check-in and deployment processes using Chef, Jenkins and similar tools. • Advanced level Custom-scripting build and deployment processes using Bash, Ruby, Python, Perl and other scripting languages. • Manage entire SDLC process. Includes managing DevOps and tools including Jenkins, Artifactory, Ansible. • Ability to debug compilation issues with builds. And get code pushed out to servers. • Participating in Agile and Scrum team activities, like stand-ups, sprint planning and sprint reviews. • Assisting with architectural planning and review. • Aiding other team members in achieving their work objectives. • Interacting with team members and client technical staff to both understand client needs and explain technical work. Experience • BS/MS in Computer Sciences or equivalent • Advanced knowledge of programming languages such as Java, python etc • Strong analytical skills – and previous experience building microservices for a e-commerce setup.• Familiarity with PAAS platforms like Cloud Foundry, Open Shift etc, IAAS and AWS solutions and tools. • Familiarity with DB schema designs and working experience with queries and NO SQL frameworks • Collaborative attitude, strong work ethic and ability to thrive and excel in a challenging fast-paced environment. • Attention to detail with strong project management and prioritization skills; ability to manage ad hoc reporting requests in tandem with ongoing projects."
3,cloud engineer,"Cloud Architect - AWSJob Type: Contract, Contract to hire, or PermLocation: Boston, MAJob# 15464 Summary:The Cloud Architect is responsible for designing and implementing the cloud architecture components that establish its advanced analytics projects, which we provide globally to an enviable portfolio of leading clients. Person is pivotal to the definition of our strategy for client projects and for innovating in these exciting, fast-moving areas.Responsibilities:Design and implement cloud solutions (AWS or Azure)Assist in building, delivering, and managing Cloud environments leveraging services provided by AWS, Google, etc.Develop technical architecture and design diagrams and descriptionsPresent technical solutions to customers and managementImplement and support DevOpsInformation and Data Security, Governance, Compliance"
4,cloud engineer,"Senior Software Architect (Perm)Charlestown, MA About the JobThe individual hired for the position will be responsible for leading application architecture and will be a key stakeholder in the overall success of the organization. This individual will drive and build the development team to suit the needs of the business and must have excellent communication skills. The individual must be a fast learner, stay on top of current and future trends in software technologies and embrace innovative and creative thinking with an eye to the big picture. We seek a talented individual that is highly motivated, possesses a deep technical understanding of the industry, and can articulate between business and engineering teams.About YouProvide strong technical leadership. Lead execution of the architecture through careful proof-of-concept by focusing on platform scalability, platform performance. Make architectural tradeoffs as needed and refactor them as required.Ensure software meets all requirements of quality, security, modifiability, extensibility, etcSpearhead architecture and design sessions by bringing the team together.Manage risk identification and risk mitigation strategies within the technical architectureCollaborate with Product Management and Engineering to develop and deliver high-quality products and features in a timely mannerHave finger on the pulse of evolving technology and understands how new technologies could benefit our product solutionResponsible for contributing to the Software Architecture Practice as required to meet demandReviews and is a key contributor for design and code inspectionsResearches, documents, and implements program requirements and specificationsRuns and monitors performance tests on new and existing software for the purposes of correcting mistakes, isolating areas of improvement, and general debuggingGathers statistics, prepare, and write reports on the status of the programming process for discussion with management and / or team membersDetermines, develops, and maintains guidelines and coding standard documentationInteracts regularly with managers, vendors, and customers to field queries and questionsTrains and provides guidance to junior software development staffRequired Experience:10+ years experience in Software Development and Software ArchitectureMinimum 5+ years software engineering leadership experienceMinimum 5+ years software technology platform experienceExperience with software development and architecture using Javascript / JavaBS in Engineering or related, MS a plusExcellent knowledge about Amazon AWS and various software services it offers. Working knowledge within AWS is a must.Hands on SW development is a requirementDetailed knowledge of Agile design methodologies; experience creating design documentation, roadmaps, and coding standards (AWS/Amazon /Agile/LEAN)Must be a team player with the ability to work with all parts of the organizationStrong communication skillsProblem solving skills and the ability to get the job doneMust have interpersonal and negotiation skillsKnowledge of regulatory compliance (HIPAA, etc) a plusKnowledge of Javascript stack a plus (Node, Angular, Couchdb, express)   "
5,cloud engineer,"Our client, a well known and highly profitable software company, is hiring system architects with significant public cloud experience to join their sales organization. Specifically, they are looking to fill a variety of industry-aligned roles (Financial Services, Retail, Manufacturing), so they want architiects and solution specialists with an expertise in one of the aforementioned verticals. The role involves working with clients to help them understand and successfully adopt a large variety of on-premise and PaaS/IaaS offerings. You will work with both internal sales staff on enterprise accounts, and with channel partners on mid-sized accounts. If you have expertise with large database systems, especially ones deployed in the cloud, it is a big plus. Expertise in cloud security will also give you an edge.You'll need really strong grasp on the complexities of cloud-based architectures, with experience leading the technical design of systems that are deployed on Amazon Web Services, Microsoft Azure or IBM Softlayer / Bluemix. As this is an external-facing role, you will also need extremely strong communication skills. Prior experience in a pre-sales role is highly desirable. Compensation is excellent, and there is ample opportunity for career advancement.Essential Skills:- Significant experience architecting or migrating systems to a public cloud (esp AWS, Azure, and IBM Cloud)- Significant industry experience in Financial Services, Retail, or ManufacturingPlusses:- Client facing technical pre-sales roles- Large database experience, especially in the cloud- Cloud security expertise- Channel partner experience (either from the vendor or partner side)* * * * * * * * * * * * * * * * * * * * * * * * * * * * * *Please click the Apply Now button to apply for the job.We will review your resume and call if you are qualified. Job ID 3179DI-0639"
6,cloud engineer,"Datanomics, a full service provider of computer consulting services since 1982, is currently seeking a Cloud Architect for a contract position with our client Lowell, Massachusetts. No Corp-to-Corp or 3rd Parties !SEND your resume to Resumes@datanomics.com Please contact Lisa Conord at 908-707-8200 ext. 227,after sending your resume. Required Skills: * Microservices programming, OpenStack, Cloud Foundry, AWS, MongoDB, LogStash, Elastic Search, Hadoop, Java, Scala and Python, JSP, JBoss, MySQL, NoSQL (Cassandra), RabbitMQ, AWS Web Services, Apigee, Linux Desired Skills:* Microservices programming experience.* Research oriented attitude to turn around with answers to solve industry problems with new tools and solutions * Strong foot hold on platform architectures like OpenStack, Cloud Foundry and AWS and experience with Big Data strategies like MongoDB, LogStash, Elastic Search or Hadoop * *Hands-on* experience with programming languages such as Java, Scala and Python. Familiarity with Microservices, Java, JSP, JBoss, MySQL, NoSQL (Cassandra), RabbitMQ, AWS Web Services, Apigee, Linux, and a range of open source libraries. * Familiarity with Spring framework (Core, WS, Security, batch, integration etc) and Play/Akka Frameworks * Ability to quickly develop front end strategies using HTML, AngularJS, React etc * Familiarity with SQL and NOSQL based systems and have the ability to spin up applications using various backend systems like MongoDB, DynamoDB etc * Automating the build-out and deployment of virtual nodes using Chef, Puppet, Ansible, AWS technologies and other tools. Plus automating scale on demand using aws or platforms such as OpenStack or Cloud Foundry. * Automating the build, check-in and deployment processes using Chef, Jenkins and similar tools. * Advanced level Custom-scripting build and deployment processes using Bash, Ruby, Python, Perl and other scripting languages. * Bachelor*s please contact Lisa Conordat 908-707-8200 ext. 227.or send your resume to Resumes@datanomics.com"
7,cloud engineer,"*** Can be remote if open to 25% travel ***The Cloud Recovery Solution Architect (RSA) is responsible for working with customers in a collaborative and consultative manner to develop, document and implement complex cloud DR solutions.  The ideal candidate is skilled in virtualization technologies, managed hosting solution sets and industry trends in DR and Cloud computing.About You:You are a hardworking, competitive type that is driven to succeed.Self-starter with a reputation for being an effective change agent.Do you have what it takes?  We are looking for a solid blend of the following skills.  At least 10 years of experience architecting enterprise solutions from concept to actual build out and operation.Willing to travel 25% of the timeResponsibilities:Developing and validating solution architectures that will enable customers to recover their business applications in the appropriate RTO/RPO values.Being the single point of ownership for the customer solution during transition and lifecycle.Providing technical leadership to SME’s and customers.The RSA will conduct customer engagements in a collaborative manner.The RSA will coordinate technical resources on the engagement.Develop customer facing architecture and recovery strategy documentation.Ensure a successful fail-over and fail-back of the customer’s application during transition.Provide thought leadership in the area of DR.During customer engagements, the RSA leads client discovery toward development of comprehensive, application centric Solution Architectures, recovery strategies and with help of SME’s detailed recovery procedure documentation (RPD) by a team of Procedure Documentation specialists. Execution of RPD during recovery tests validates RSA solution design, while delivering a highly successful client recovery test experience.  This diverse and technically talented team of Recovery Solution Architects consists of experts across Multiple Platforms, Operating Systems, Storage Configurations, Backup Technologies, and Network Topologies and Protocols. Requirements:Bachelor's degree in Engineering, Computer Science, or related technology discipline preferred, but not requiredAdvanced knowledge Multi-Tier Application architecture designSkilled at gather requirements for Solution DesignVMWare ESX and associated DR capabilitiesMicroSoft ASR / InMage or SRM VMwareBackup and Storage solutions to include physical and virtual environments.   At least one of the following backup solutions:CommVault,  Netbackup, Tivoli Storage Manager, Networker and Data DomainSpecific knowledge of Applications and best practices related to backup/restore andSpecific knowledge of Databases and best practices related to backup/restoreOracle and MS-SQL technologiesMust have the ability to analyze technical documentation and identify gaps/risksStrong written skills to produce technical documentation is a MUSTSkilled in Visio, MS Word & PowerpointAbility to lead technical working sessionsComfortable running workshops and presenting to customersStrong knowledge of network and systems design principles including routers, switches, firewalls and load balancersInfrastructure services recovery to include DNS, Active Directory and other Directory Services implementationsProficient in on the following virtualization.VMware ESX, Microsoft’s Hyper-V, VMM, & Virtual Server, Xen, Solaris Zones, LDOMs or AIX LPAR/MPAR)Proficient in one of the following:RHEL/CentOS versions (4, 5, 6)Windows 2003/2008AIXSolarisPreferred Qualities:RDBMS Recovery (MS SQL Server, Oracle)At least one of the following backup technologies:  CommVault, NetBackup, Tivoli Storage Manager (TSM), Networker, Data DomainProficient in at least one of the following replication technologies:  EMC Avamar, Hitachi TrueCopy, EMC HomeBase,   FalconStor , EMC RecoverPoint, IBM Global MirrorUnable to work with 3rd party candidates or agencies.Unable to sponsor H-1B visa at this time"
8,cloud engineer,"US Tech Solutions is seeking a “Cloud Architect” for a 06+ Months Contract position with a client in Jersey City, New Jersey. Responsibilities:Perform duties as assigned. Requirements:Well versed in private and public cloud implementationsStrong experience in designing and implementing Cloud Access management solutionCloud authentication and authorization design experienceExposure to Privileged Access Management for the cloud assetsHands-on experience with cloud solutions such as AWS, MS Azure, IBM Cloud Orchestrator If you have the described qualifications and are interested in this exciting opportunity, apply today! Benefits of Working with US Tech Solutions: As a US Tech Solutions consultant, we are proud to offer access to the following benefits:Medical and dental insuranceBi-weekly payroll401k planAccount and Delivery Manager for client supportSuccessful re-marketing programReferral program with the opportunity to earn additional income About US Tech Solutions:  US Tech Solutions is a new age leading total talent solutions provider. Our current revenues are in excess of $140 Million annually. Our staffing solutions include multiple labor categories like IT, Scientific, Clinical, Engineering, Finance, and Professional. We currently support over 80 Fortune 500 clients and are a top supplier in various contingent labor programs. We have established a COE for delivery in each labor category. We have multiple customers across verticals including Finance, Pharma, Healthcare, Utility/Energy, Insurance, Public Sector, Telecom and Technology/SI. US Tech recruiters and delivery professionals are highly accomplished career advocates, who get to know you beyond your resume to position you with the opportunities that fit your skills, experience and goals. To learn more about US Tech Solutions and to view all our available career opportunities, please visit us atwww.ustechsolutions.com.“US Tech is an Equal Opportunity Employer” and “US Citizens & all other parties authorized to work in the US are encouraged to apply.” Thank you for your time. Shweta SinghUS Tech SolutionsTel: 201.549.2745Email: shweta.singh@ustechsolutionsinc.comURL: www.ustechsolutions.com"
9,cloud engineer,"Job Title: Cloud Architect / Implementation EngineerLocation: Midtown, NYCJob Type: ContractDuration: Long TermContact Info: Matt O'Brien - mobrien@techlink.com - 201-786-2415The Cloud Architect will be part of a team that has a focus on cloud based hosted solutions for externally facing sites and services.The cloud architecture team manages the design of dynamic infrastructure that meets the needs of the product and software development groups to build robust, secure and cost-effective solutions.The Cloud Architect will be a key contributor in a rapidly changing field that balances the need to offer a standardized platform while introducing new paradigms of cloud technology.Key technologies:Nginx, Haproxy, Apache, wsgigit, gitflowPython web frameworks such as Flask, DjangoUnit testing using frameworks such as unittestUnderstanding of test automation tools such as SeleniumAPM tools such as NewRelicInfrastructure:AWS: at least 3+ yearsDocker: 1+ yearsThorough understanding of TCP, IP and HTTPUnderstanding of network security and various encryption standardsAble to configure and tune web serversThorough understanding of Linux and reasonable knowledge on the Linux Kernelasic understanding of puppet and SCM toolsDevelopment languages:Python : at least 6+ years experienceGo : 1+ yearsJavasSript frameworks such as Bootstrap, AngularjsHTML5 and templating frameworksBasic understanding of Bash and scriptingMust have an understanding of modular applications and OOPBoto SDK and other cloud tools such as TerraformJson, Yaml, and REST frameworksOther:Can independently lead projectsExperience working with geographically diverse teamsStrong written and verbal communication skillsCreative thinker who can devise solutions for complex problems and prioritize requirements"
10,cloud engineer,"Hello ,I am writing to introduce myself as a member of Fortira Inc. I have a requirement of a CLOUD SOLUTIONS ARCHITECT  for our client located in PENNINGTON, NJ. Please send your updated resume if interested in a WORD format. Position:     Cloud Solutions ArchitectDuration:     6 + month on W2 OR CORP TO CORP ( ON GOING EXTENDABLE)Location:     P.O. BOX 5400                  311 Pennington Rocky Hill Road                  Pennington, NJ 08534 Job Description: Role: Cloud Solutions EngineerRole summary:The role will include all activities related to designing, deploying and supporting AWS cloud based infrastructure in support of the BMS Research Cloud. Looking for an individual with a strong background in Unix/Linux that has demonstrated experience configuring infrastructure technology solutions running on AWS. Developing processes and standards for monitoring, securing and access of cloud services that is tightly aligned with quality assurance, validation services and information security. The role will ensure adherence to change management and regulatory procedures including governing the creation of operational procedures and system qualifications. Leadership skills and cross-team collaboration practices are key requirements in addition to relevant technical skills.Requirements & Responsibilities:• Design and configure Linux and Windows based environments for scientific applications • Experience building Linux AMI’s and operational support for Unix based platforms. • Build policies for access control and user profiles using AWS IAM, S3 controls with bucket policies.  • Experience with VPC design, sub-netting, VLANs, routing tables, network ACLs, security groups & Firewall configurations. • Systems and network security, data encryption and key management for AWS is preferred. • Demonstrated experience or understanding for EC2, EBS, S3, Cloud Formation, Cloud Trail, Cloud Watch, auto scaling, Route 53, SNS, SQS, Lambda. • General understanding of RDS, DynamoDB, Redshift • Infrastructure automation coding in a language such as Python, Shell scripts, Powershell with experience specific to AWS component management. • Strong experience with NFS and SMB interoperability, enterprise authentication/authorization • Experience with HPC job scheduling including queuing systems, job dependencies. Support for HPC compute clusters running SGE in AWS is a plus. • Experience with auditing via cloud trail, cloud-watch events and VPC flow logs. Technical certification:• Requires AWS certified Solutions Architect Associate or equivalent experience. • Requires Linux certification or equivalent experience with Linux over 5 years. • Amazon Web Services (AWS) - 3 years Qualifications:• Bachelor’s degree in Engineering or Computer Science is required. • 6+ years of relevant working experience.  • Experience in Pharmaceuticals and/or Healthcare IT preferred. • Experience with IT asset management and compliance using enterprise CMDBs and change control • Strong interpersonal, oral and written communication skills.  • Demonstrated experience in mobilizing and leading innovative teams and advocating for new ideas.  • Collaboratively interact with leadership and multiple stakeholders across the IT organization. • Project management experience with ability to track and measure projects. Note : All Resumes submitted to our Clients are  subject to  an Extensive Background Check. Please be sure to present an  accurate and verifiable resumePlease accept our sincere apologies if this is not a good fit for your background. We would appreciate if you could FWD this email to anyone you know who may be looking for similar job opportunities. Regards, Nilesh Katkar / Talent Acquisition  4365-US Hwy 1 South, Suite 105, Princeton, NJ 08540(Direct)609-681-5752 / 609-454-3209 ext-223 / (cell) 732-207-9798  / (Fax) 609-356-0312FORTIRA is a certified Minority Business Enterprise (MBE) “Be thankful for what you have; you'll end up having more. If you concentrate on what you don't have, you will never, ever have enough”  CONFIDENTIALITY NOTICE The information in this transmission is intended only for the individual or entity named above. It may be legally privileged and confidential. If you have received this information in error, please notify us immediately and delete this transmission and any other documents, files and information transmitted herewith. If the reader of this message is not the intended recipient, you are hereby notified that any disclosure, dissemination, distribution or copying of this communication or its contents is strictly prohibited. PPlease consider the environment before printing this email or its attachments.  "
