,dm,vector_size,window,epochs,score
30,0,500,5,10,18769
39,0,600,5,10,18722
33,0,500,10,10,18709
18,0,400,3,10,18694
36,0,600,3,10,18681
24,0,400,10,10,18644
21,0,400,5,10,18633
0,0,200,3,10,18617
6,0,200,10,10,18580
3,0,200,5,10,18575
48,0,700,5,10,18571
12,0,300,5,10,18547
9,0,300,3,10,18533
45,0,700,3,10,18521
51,0,700,10,10,18514
27,0,500,3,10,18509
42,0,600,10,10,18506
15,0,300,10,10,18454
10,0,300,3,20,17716
49,0,700,5,20,17713
19,0,400,3,20,17709
34,0,500,10,20,17676
25,0,400,10,20,17663
37,0,600,3,20,17648
46,0,700,3,20,17634
43,0,600,10,20,17634
52,0,700,10,20,17630
40,0,600,5,20,17626
28,0,500,3,20,17607
31,0,500,5,20,17575
4,0,200,5,20,17574
16,0,300,10,20,17563
22,0,400,5,20,17547
7,0,200,10,20,17522
1,0,200,3,20,17522
13,0,300,5,20,17457
82,1,500,3,20,17167
64,1,300,3,20,17100
91,1,600,3,20,17077
55,1,200,3,20,17056
100,1,700,3,20,16990
83,1,500,3,30,16989
65,1,300,3,30,16973
101,1,700,3,30,16959
74,1,400,3,30,16938
92,1,600,3,30,16922
11,0,300,3,30,16908
73,1,400,3,20,16904
56,1,200,3,30,16893
29,0,500,3,30,16883
47,0,700,3,30,16862
26,0,400,10,30,16856
20,0,400,3,30,16852
5,0,200,5,30,16836
32,0,500,5,30,16814
23,0,400,5,30,16811
53,0,700,10,30,16798
2,0,200,3,30,16796
35,0,500,10,30,16794
14,0,300,5,30,16791
50,0,700,5,30,16782
44,0,600,10,30,16765
17,0,300,10,30,16757
41,0,600,5,30,16733
8,0,200,10,30,16718
38,0,600,3,30,16644
85,1,500,5,20,16512
94,1,600,5,20,16503
104,1,700,5,30,16492
103,1,700,5,20,16432
59,1,200,5,30,16371
58,1,200,5,20,16362
67,1,300,5,20,16356
86,1,500,5,30,16319
76,1,400,5,20,16302
95,1,600,5,30,16231
77,1,400,5,30,16196
68,1,300,5,30,16194
54,1,200,3,10,16032
63,1,300,3,10,15966
90,1,600,3,10,15964
66,1,300,5,10,15908
84,1,500,5,10,15836
81,1,500,3,10,15750
72,1,400,3,10,15743
99,1,700,3,10,15705
102,1,700,5,10,15599
88,1,500,10,20,15577
75,1,400,5,10,15532
97,1,600,10,20,15525
57,1,200,5,10,15523
93,1,600,5,10,15520
70,1,300,10,20,15503
79,1,400,10,20,15460
69,1,300,10,10,15411
87,1,500,10,10,15381
61,1,200,10,20,15365
106,1,700,10,20,15349
78,1,400,10,10,15277
105,1,700,10,10,15241
96,1,600,10,10,15207
80,1,400,10,30,15082
60,1,200,10,10,14993
98,1,600,10,30,14984
89,1,500,10,30,14983
71,1,300,10,30,14880
107,1,700,10,30,14853
62,1,200,10,30,14838
