id,cos_10,cos_20,sim_10,sim_20,com_1_1_10,com_1_1_20,com_1_3_10,com_1_3_20,com_1_5_10,com_1_5_20,com_1_7_10,com_1_7_20,com_1_9_10,com_1_9_20,com_3_1_10,com_3_1_20,com_3_3_10,com_3_3_20,com_3_5_10,com_3_5_20,com_3_7_10,com_3_7_20,com_3_9_10,com_3_9_20,com_5_1_10,com_5_1_20,com_5_3_10,com_5_3_20,com_5_5_10,com_5_5_20,com_5_7_10,com_5_7_20,com_5_9_10,com_5_9_20,com_7_1_10,com_7_1_20,com_7_3_10,com_7_3_20,com_7_5_10,com_7_5_20,com_7_7_10,com_7_7_20,com_7_9_10,com_7_9_20,com_9_1_10,com_9_1_20,com_9_3_10,com_9_3_20,com_9_5_10,com_9_5_20,com_9_7_10,com_9_7_20,com_9_9_10,com_9_9_20
1,0,4,0,1,1,4,0,1,0,1,0,1,0,1,0,4,1,4,1,3,0,1,0,1,0,4,0,3,1,4,1,3,1,3,0,4,0,5,0,4,1,4,1,4,0,4,0,4,0,4,0,4,1,4
2,0,7,0,3,0,4,0,3,0,3,0,3,0,3,3,6,0,4,0,3,0,3,0,3,3,7,0,7,0,4,0,3,0,3,3,8,0,6,3,5,0,4,0,3,3,7,3,6,0,6,0,5,0,4
3,0,2,2,3,0,3,2,3,3,3,3,3,0,3,0,2,0,3,0,4,0,3,2,3,0,2,0,3,0,3,1,4,1,4,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,3,0,3,0,3
4,0,7,0,3,0,3,2,3,2,3,2,3,0,3,4,8,0,3,0,3,2,3,2,3,4,8,0,5,0,3,0,3,0,3,4,8,0,7,0,5,0,3,0,3,4,7,4,8,0,6,0,3,0,3
5,0,3,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,1,0,2,0,2,0,2,0,2,0,1,0,1,0,2,0,2,0,3,0,2,0,1,0,1,0,2
6,0,7,0,2,0,8,0,5,0,4,0,3,0,3,4,7,0,8,5,7,4,6,0,5,4,7,0,8,0,8,6,7,4,7,4,7,0,8,0,8,0,8,6,7,4,7,4,7,0,9,0,9,0,8
7,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,2,0,3,0,3,0,3,0,3,0,3,0,1,0,3,0,3,0,3,0,3,0,2,0,1,0,3,0,3,0,3,0,2,0,1,0,1,0,3
8,0,7,0,3,0,6,0,4,0,3,0,3,0,3,0,6,0,6,0,4,3,4,0,4,0,7,4,7,0,6,3,4,0,4,0,6,4,7,0,6,0,6,3,5,0,6,0,6,0,7,0,6,0,6
9,0,2,0,2,0,3,0,4,0,3,0,2,0,2,2,2,0,3,0,3,0,4,0,4,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,2,0,3,0,3,0,2,2,2,1,2,0,2,0,3
10,0,4,0,2,0,3,0,3,0,3,0,3,0,2,0,4,0,3,0,3,0,3,0,3,2,5,3,4,0,3,0,3,0,3,0,6,0,5,0,5,0,3,0,3,0,6,0,4,3,4,3,4,0,3
11,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,5,0,2,0,1,0,0,0,0,0,5,0,2,0,2,0,1,0,0
12,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,5,7,2,3,0,2,0,0,0,0,4,7,0,5,0,3,0,2,0,1,4,7,0,6,2,4,0,3,0,2
13,0,4,0,3,0,5,2,3,2,3,2,3,2,3,0,4,0,5,0,3,0,2,2,3,0,4,4,5,0,5,0,4,0,3,0,4,0,5,0,5,0,5,0,4,0,4,0,4,4,5,0,5,0,5
14,0,3,0,2,0,2,0,2,0,2,0,2,0,2,0,3,0,2,0,2,0,2,0,2,0,4,0,2,0,2,0,2,0,2,0,3,0,2,0,2,0,2,0,2,0,4,0,3,0,2,0,2,0,2
15,3,6,0,4,0,3,0,4,0,4,0,4,0,4,0,3,0,3,0,3,1,4,0,4,0,3,0,3,0,3,0,3,0,3,0,5,0,3,0,3,0,3,2,3,0,5,0,3,0,3,0,3,0,3
16,4,7,0,1,0,2,0,1,0,1,0,1,0,1,5,7,0,2,0,0,0,1,0,1,5,7,0,7,0,2,0,1,0,1,5,7,0,7,0,6,0,2,0,1,5,7,5,7,0,7,0,6,0,2
17,2,2,0,2,0,3,2,3,1,3,1,3,1,3,2,3,0,3,0,5,0,4,2,3,0,3,0,3,0,3,0,4,0,5,0,3,2,3,0,3,0,3,0,4,0,3,2,3,2,3,0,3,0,3
