id,matched_ids,merged_skills
1,"[427.0, 407.0, 147.0, 143.0, 128.0, 158.0, 402.0, 118.0, 431.0, 162.0]","{'component', 'monitoring', 'domain knowledge', 'data transmission', 'data analysis', 'business', 'mode', 'design', 'server', 'nosql', 'data validation', 'business intelligence', 'distributed database', 'project management', 'version control system', 'testing', 'deployment', 'analytics', 'database', 'framework', 'software', 'database design', 'data modeling', 'relational database', 'support', 'bamboo', 'computer science', 'business process', 'oracle', 'material', 'engineering', 'data management', 'continuous integration', 'shell', 'interaction', 'release', 'documentation', 'tableau', 'security'}"
2,"[6.0, 488.0, 483.0, 41.0, 463.0, 475.0, 16.0, 51.0, 52.0, 455.0]","{'component', 'business', 'ajax', 'apache tomcat', 'javascript', 'nosql', 'devise', 'analytics', 'ansible', 'play', 'process engineering', 'graphite', 'nlp', 'coreos', 'computer science', 'ubuntu', 'python', 'chef', 'cloud monitoring', 'bash', 'apigee', 'selenium', 'server', 'maven', 'bootstrap', 'akka', 'rabbitmq', 'database', 'cassandra', 'bamboo', 'user interface', 'virtualization platform', 'oracle', 'mongodb', 'docker', 'continuous integration', 'jenkins', 'devops', 'web service', 'collaboration', 'diagram', 'testing', 'code review', 'ruby', 'perl', 'framework', 'software', 'application server', 'hibernate', 'cloud foundry', 'authentication', 'workflow', 'angular', 'spring', 'support', 'scala', 'library', 'openstack', 'mysql', 'react', 'java', 'security', 'scripting language', 'monitoring', 'junit', 'mercurial', 'design', 'logstash', 'hadoop', 'deployment', 'git', 'front end', 'source code', 'linux', 'rocket', 'jquery', 'workload', 'big data', 'shell', 'release', 'documentation', 'programming language', 'angularjs', 'beanstalk'}"
3,"[36.0, 20.0, 46.0, 43.0, 31.0, 50.0, 5.0, 33.0, 23.0, 32.0]","{'openshift', 'monitoring', 'specification', 'business', 'design', 'network security', 'azure', 'devops', 'business intelligence', 'diagram', 'testing', 'schedule', 'deployment', 'groovy', 'perl', 'database', 'data system', 'microsoft azure', 'software', 'correctness', 'application server', 'framework', 'enterprise system', 'play', 'linux', 'certificate', 'support', 'chef', 'openstack', 'mobile', 'oracle', 'google', 'engineering', 'workload', 'software engineering', 'shell', 'java', 'release', 'cloud storage', 'data center', 'web service', 'security', 'collaboration'}"
4,"[98.0, 41.0, 51.0, 101.0, 250.0, 478.0, 88.0, 236.0, 406.0, 340.0]","{'monitoring', 'data analysis', 'specification', 'business', 'ajax', 'design', 'server', 'javascript', 'finance', 'bootstrap', 'project management', 'data warehouse', 'testing', 'schedule', 'deployment', 'groovy', 'data mining', 'analytics', 'ruby', 'database', 'software', 'web service', 'github', 'authentication', 'nlp', 'relational database', 'support', 'marketing', 'scala', 'middleware', 'user interface', 'computer science', 'swift', 'python', 'business process', 'chef', 'virtualization platform', 'jquery', 'oracle', 'jquery mobile', 'engineering', 'electrical engineering', 'continuous integration', 'software engineering', 'shell', 'content management', 'android', 'java', 'release', 'cloud hosting', 'devops', 'documentation', 'data processing', 'security', 'collaboration', 'code coverage'}"
5,"[31.0, 3.0, 50.0, 33.0, 46.0, 23.0, 40.0, 30.0, 36.0, 13.0]","{'component', 'monitoring', 'specification', 'business', 'design', 'network security', 'javascript', 'azure', 'devops', 'business intelligence', 'data warehouse', 'diagram', 'testing', 'hadoop', 'schedule', 'deployment', 'groovy', 'analytics', 'perl', 'database', 'microsoft azure', 'software', 'application server', 'framework', 'correctness', 'linux', 'certificate', 'support', 'computer science', 'python', 'chef', 'openstack', 'mobile', 'google', 'engineering', 'workload', 'data integration', 'shell', 'data center', 'cloud storage', 'interaction', 'release', 'web service', 'security', 'collaboration'}"
6,"[2.0, 501.0, 50.0, 463.0, 455.0, 18.0, 106.0, 424.0, 467.0, 475.0]","{'component', 'business', 'ajax', 'apache tomcat', 'javascript', 'nosql', 'project management', 'groovy', 'ansible', 'play', 'process engineering', 'system integration', 'computer science', 'python', 'chef', 'eclipse', 'bash', 'apigee', 'network management', 'server', 'maven', 'akka', 'rabbitmq', 'database', 'cassandra', 'relational database', 'oracle', 'mongodb', 'docker', 'continuous integration', 'jenkins', 'devops', 'web service', 'azure', 'diagram', 'testing', 'ruby', 'perl', 'framework', 'application server', 'software', 'riak', 'hibernate', 'cloud foundry', 'workflow', 'activemq', 'angular', 'high availability', 'spring', 'support', 'scala', 'library', 'openstack', 'mysql', 'react', 'java', 'mariadb', 'security', 'scripting language', 'monitoring', 'junit', 'continuous deployment', 'design', 'logstash', 'memcached', 'hadoop', 'deployment', 'kubernetes', 'front end', 'linux', 'jquery', 'google', 'big data', 'shell', 'data center', 'commerce', 'documentation', 'postgresql', 'programming language', 'angularjs'}"
7,"[15.0, 502.0, 156.0, 57.0, 46.0, 411.0, 37.0, 19.0, 398.0, 167.0]","{'monitoring', 'algorithm', 'specification', 'business', 'programming language', 'system testing', 'machine learning', 'design', 'server', 'data science', 'azure', 'network topology', 'business intelligence', 'distributed database', 'data warehouse', 'project management', 'diagram', 'testing', 'hadoop', 'schedule', 'code review', 'deployment', 'source document', 'analytics', 'data mining', 'data structure', 'database', 'text mining', 'operating system', 'router', 'framework', 'software', 'microsoft azure', 'centos', 'natural language processing', 'linux', 'inference', 'virtual machine', 'graphite', 'system integration', 'support', 'computer engineering', 'computer science', 'library', 'python', 'chef', 'oracle', 'docker', 'google', 'engineering', 'visualization', 'kibana', 'network architecture', 'mysql', 'big data', 'java', 'cloud storage', 'data center', 'security', 'release', 'documentation', 'information management', 'postgresql', 'web service', 'collaboration'}"
8,"[489.0, 426.0, 373.0, 42.0, 460.0, 22.0, 388.0, 218.0, 241.0, 448.0]","{'component', 'business', 'junit', 'ajax', 'machine learning', 'design', 'server', 'finance', 'javascript', 'ethernet', 'nosql', 'azure', 'debugging', 'project management', 'testing', 'hadoop', 'code review', 'ruby', 'perl', 'database', 'operating system', 'software', 'framework', 'gitlab', 'git', 'github', 'ansible', 'enterprise system', 'linux', 'high availability', 'spring', 'support', 'rocket', 'marketing', 'swift', 'coreos', 'computer science', 'ubuntu', 'python', 'chef', 'openstack', 'ambiguity', 'jquery', 'oracle', 'eclipse', 'docker', 'engineering', 'continuous integration', 'big data', 'shell', 'cucumber', 'java', 'security', 'documentation', 'devops', 'web service', 'beanstalk'}"
9,"[218.0, 33.0, 3.0, 50.0, 273.0, 40.0, 46.0, 32.0, 317.0, 47.0]","{'monitoring', 'component', 'domain knowledge', 'specification', 'business', 'ajax', 'hbase', 'design', 'network security', 'javascript', 'azure', 'bootstrap', 'diagram', 'testing', 'hadoop', 'lucene', 'deployment', 'groovy', 'grunt', 'analytics', 'perl', 'microsoft azure', 'framework', 'application server', 'web service', 'software', 'front end', 'linux', 'angular', 'certificate', 'nlp', 'support', 'solr', 'user interface', 'chef', 'openstack', 'mobile', 'jquery', 'oracle', 'eclipse', 'google', 'engineering', 'compass', 'impala', 'workload', 'shell', 'data center', 'cloud storage', 'java', 'devops', 'security', 'collaboration'}"
10,"[50.0, 33.0, 40.0, 16.0, 3.0, 46.0, 31.0, 11.0, 22.0, 41.0]","{'monitoring', 'component', 'specification', 'business', 'selenium', 'mercurial', 'machine learning', 'ajax', 'design', 'network security', 'server', 'docker swarm', 'azure', 'diagram', 'testing', 'deployment', 'groovy', 'analytics', 'ruby', 'perl', 'database', 'fabric', 'microsoft azure', 'framework', 'application server', 'web service', 'git', 'software', 'gitlab', 'github', 'kubernetes', 'source code', 'ansible', 'linux', 'high availability', 'certificate', 'support', 'marketing', 'computer science', 'python', 'chef', 'openstack', 'mobile', 'jquery', 'google', 'engineering', 'workload', 'bash', 'continuous integration', 'shell', 'data center', 'release', 'cloud storage', 'java', 'devops', 'security', 'collaboration'}"
